Date,Batch,Filename,File Date,File Time,File Size (KB),Folder Path
2026-07-04,Batch_101,entry_20260704_101244.jpg,20260704,101244,92.05,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_101244.jpg
2026-07-04,Batch_101,entry_20260704_102149.jpg,20260704,102149,88.94,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_102149.jpg
2026-07-04,Batch_101,entry_20260704_101455.jpg,20260704,101455,89.43,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_101455.jpg
2026-07-04,Batch_101,entry_20260704_101221.jpg,20260704,101221,89.81,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_101221.jpg
2026-07-04,Batch_101,entry_20260704_102331.jpg,20260704,102331,91.32,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_102331.jpg
2026-07-04,Batch_101,entry_20260704_094804.jpg,20260704,094804,88.48,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_094804.jpg
2026-07-04,Batch_101,entry_20260704_094555.jpg,20260704,094555,90.14,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_094555.jpg
2026-07-04,Batch_101,entry_20260704_101404.jpg,20260704,101404,91.07,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_101404.jpg
2026-07-04,Batch_101,entry_20260704_102454.jpg,20260704,102454,95.52,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_102454.jpg
2026-07-04,Batch_101,entry_20260704_094354.jpg,20260704,094354,93.08,/Users/bhushan/Downloads/dde2a01c-4ab7-4fdc-ab3d-2fd7819b05ef/2026_Organized/2026-07-04/Batch_101/entry_20260704_094354.jpg
